date,item_id,movement_type,qty,doc_ref
2025-01-04,MRO-0003,ISSUE,-1,WO-62755
2025-01-06,MRO-0003,ISSUE,-1,WO-58397
2025-01-08,MRO-0003,ISSUE,-2,WO-40989
2025-01-08,MRO-0003,ISSUE,-1,WO-86044
2025-01-08,MRO-0003,RECEIPT,21,PO-17319
2025-01-10,MRO-0003,ISSUE,-1,WO-91377
2025-01-10,MRO-0003,ISSUE,-1,WO-74111
2025-01-17,MRO-0003,ISSUE,-2,WO-63186
2025-02-02,MRO-0003,ISSUE,-2,WO-53971
2025-02-04,MRO-0003,ISSUE,-2,WO-73944
2025-02-07,MRO-0003,ISSUE,-1,WO-29954
2025-02-11,MRO-0003,RECEIPT,8,PO-31009
2025-02-12,MRO-0003,ISSUE,-2,WO-88442
2025-02-14,MRO-0003,ISSUE,-1,WO-73103
2025-02-15,MRO-0003,RECEIPT,10,PO-21562
2025-02-16,MRO-0003,ISSUE,-5,WO-19766
2025-02-23,MRO-0003,ISSUE,-2,WO-18035
2025-02-28,MRO-0003,ISSUE,-1,WO-55665
2025-03-08,MRO-0003,ISSUE,-2,WO-84362
2025-03-09,MRO-0003,ISSUE,-1,WO-12754
2025-03-10,MRO-0003,ISSUE,-1,WO-13920
2025-03-20,MRO-0003,ISSUE,-2,WO-46466
2025-03-26,MRO-0003,ISSUE,-1,WO-14303
2025-03-28,MRO-0003,ISSUE,-1,WO-44683
2025-03-29,MRO-0003,ISSUE,-3,WO-45727
2025-04-06,MRO-0003,ISSUE,-1,WO-73120
2025-04-09,MRO-0003,ISSUE,-1,WO-18228
2025-04-21,MRO-0003,ISSUE,-2,WO-24575
2025-04-22,MRO-0003,ISSUE,-1,WO-81911
2025-04-30,MRO-0003,ISSUE,-1,WO-35368
2025-05-02,MRO-0003,ISSUE,-1,WO-97669
2025-05-05,MRO-0003,ISSUE,-1,WO-92622
2025-05-06,MRO-0003,ISSUE,-1,WO-45639
2025-05-06,MRO-0003,ISSUE,-1,WO-34783
2025-05-07,MRO-0003,ISSUE,-1,WO-98367
2025-05-10,MRO-0003,ISSUE,-1,WO-19815
2025-05-14,MRO-0003,ISSUE,-1,WO-19399
2025-05-16,MRO-0003,ISSUE,-1,WO-56725
2025-05-22,MRO-0003,ISSUE,-2,WO-71952
2025-05-30,MRO-0003,ISSUE,-1,WO-57181
2025-06-04,MRO-0003,ISSUE,-1,WO-19278
2025-06-10,MRO-0003,ISSUE,-2,WO-31584
2025-06-12,MRO-0003,ISSUE,-3,WO-25768
2025-06-13,MRO-0003,ISSUE,-1,WO-11104
2025-06-20,MRO-0003,ISSUE,-1,WO-51029
2025-07-09,MRO-0003,ISSUE,-1,WO-19339
2025-07-20,MRO-0003,ISSUE,-2,WO-90415
2025-07-21,MRO-0003,ISSUE,-1,WO-74360
2025-07-25,MRO-0003,ISSUE,-2,WO-67163
2025-07-28,MRO-0003,ISSUE,-1,WO-95271
2025-07-31,MRO-0003,RECEIPT,8,PO-44133
2025-08-07,MRO-0003,ISSUE,-1,WO-57530
2025-08-09,MRO-0003,RECEIPT,13,PO-48213
2025-08-12,MRO-0003,ISSUE,-1,WO-81636
2025-08-16,MRO-0003,ISSUE,-1,WO-59786
2025-08-20,MRO-0003,ISSUE,-1,WO-71826
2025-08-22,MRO-0003,ISSUE,-1,WO-56928
2025-09-01,MRO-0003,ISSUE,-1,WO-52487
2025-09-03,MRO-0003,ISSUE,-2,WO-71300
2025-09-08,MRO-0003,ISSUE,-1,WO-55864
2025-09-10,MRO-0003,RECEIPT,10,PO-35863
2025-09-20,MRO-0003,ISSUE,-1,WO-41147
2025-09-24,MRO-0003,ISSUE,-1,WO-34748
2025-09-25,MRO-0003,ISSUE,-2,WO-31560
2025-10-02,MRO-0003,RECEIPT,5,PO-31110
2025-10-05,MRO-0003,ISSUE,-1,WO-12870
2025-10-08,MRO-0003,ISSUE,-2,WO-89084
2025-10-10,MRO-0003,ISSUE,-1,WO-36807
2025-10-18,MRO-0003,ISSUE,-1,WO-87674
2025-10-26,MRO-0003,ISSUE,-2,WO-39847
2025-10-29,MRO-0003,ISSUE,-1,WO-87768
2025-11-02,MRO-0003,ISSUE,-1,WO-42322
2025-11-06,MRO-0003,ISSUE,-1,WO-36663
2025-11-15,MRO-0003,ISSUE,-3,WO-96002
2025-11-20,MRO-0003,ISSUE,-1,WO-59272
2025-11-22,MRO-0003,ISSUE,-1,WO-32558
2025-11-23,MRO-0003,ISSUE,-1,WO-68867
2025-11-24,MRO-0003,ISSUE,-1,WO-79957
2025-01-01,MRO-0004,OPENING,5,OPEN
2025-01-04,MRO-0004,RECEIPT,5,PO-12214
2025-01-06,MRO-0004,ISSUE,-1,WO-43580
2025-01-25,MRO-0004,RECEIPT,8,PO-64168
2025-01-30,MRO-0004,ISSUE,-1,WO-67787
2025-02-13,MRO-0004,ISSUE,-1,WO-21204
2025-02-28,MRO-0004,ISSUE,-1,WO-52148
2025-03-06,MRO-0004,ISSUE,-1,WO-10697
2025-03-22,MRO-0004,ISSUE,-2,WO-75790
2025-03-27,MRO-0004,ISSUE,-1,WO-31182
2025-04-30,MRO-0004,ISSUE,-5,WO-70826
2025-04-30,MRO-0004,RECEIPT,5,PO-77717
2025-05-19,MRO-0004,ISSUE,-1,WO-28830
2025-06-01,MRO-0004,ISSUE,-1,WO-95405
2025-06-23,MRO-0004,RECEIPT,8,PO-59485
2025-07-09,MRO-0004,RECEIPT,13,PO-14568
2025-08-31,MRO-0004,ISSUE,-1,WO-74011
2025-09-12,MRO-0004,ISSUE,-2,WO-64847
2025-09-13,MRO-0004,ISSUE,-1,WO-19631
2025-09-29,MRO-0004,ISSUE,-2,WO-41245
2025-10-04,MRO-0004,RECEIPT,13,PO-39380
2025-11-08,MRO-0004,RECEIPT,10,PO-79472
2025-11-16,MRO-0004,ISSUE,-1,WO-87825
2025-11-26,MRO-0004,ISSUE,-1,WO-55179
2025-01-01,MRO-0005,OPENING,5,OPEN
2025-01-09,MRO-0005,RECEIPT,13,PO-17895
2025-01-21,MRO-0005,RECEIPT,10,PO-50535
2025-01-31,MRO-0005,ISSUE,-1,WO-89691
2025-01-31,MRO-0005,RECEIPT,5,PO-82558
2025-02-27,MRO-0005,ISSUE,-5,WO-68427
2025-03-19,MRO-0005,ISSUE,-2,WO-97820
2025-04-13,MRO-0005,ISSUE,-1,WO-45654
2025-05-01,MRO-0005,RECEIPT,5,PO-75269
2025-05-08,MRO-0005,ISSUE,-1,WO-32374
2025-05-11,MRO-0005,ISSUE,-1,WO-93866
2025-05-14,MRO-0005,ISSUE,-3,WO-70904
2025-05-26,MRO-0005,ISSUE,-1,WO-85903
2025-07-02,MRO-0005,ISSUE,-1,WO-62939
2025-07-19,MRO-0005,ISSUE,-1,WO-10739
2025-08-02,MRO-0005,RECEIPT,21,PO-66042
2025-08-05,MRO-0005,ISSUE,-1,WO-17496
2025-08-06,MRO-0005,ISSUE,-1,WO-30903
2025-08-14,MRO-0005,ISSUE,-1,WO-87213
2025-08-30,MRO-0005,RECEIPT,21,PO-58913
2025-10-03,MRO-0005,ISSUE,-2,WO-32947
2025-10-05,MRO-0005,ISSUE,-1,WO-64541
2025-10-12,MRO-0005,ISSUE,-1,WO-49860
2025-10-13,MRO-0005,ISSUE,-1,WO-76716
2025-10-23,MRO-0005,ISSUE,-1,WO-48917
2025-10-23,MRO-0005,ISSUE,-1,WO-40569
2025-11-06,MRO-0005,ISSUE,-5,WO-44137
2025-11-09,MRO-0005,RECEIPT,8,PO-92600
2025-11-11,MRO-0005,ISSUE,-1,WO-96906
2025-01-01,MRO-0006,ISSUE,-1,WO-60685
2025-01-01,MRO-0006,OPENING,2,OPEN
2025-01-03,MRO-0006,ISSUE,-2,WO-13789
2025-01-12,MRO-0006,ISSUE,-1,WO-46674
2025-01-18,MRO-0006,ISSUE,-1,WO-81596
2025-01-20,MRO-0006,ISSUE,-2,WO-47238
2025-01-20,MRO-0006,ISSUE,-1,WO-10093
2025-01-24,MRO-0006,ISSUE,-1,WO-21158
2025-01-25,MRO-0006,RECEIPT,13,PO-74521
2025-01-26,MRO-0006,ISSUE,-1,WO-61661
2025-02-03,MRO-0006,ISSUE,-2,WO-14174
2025-02-07,MRO-0006,ISSUE,-2,WO-66252
2025-02-08,MRO-0006,ISSUE,-1,WO-67938
2025-02-11,MRO-0006,ISSUE,-1,WO-84275
2025-02-13,MRO-0006,ISSUE,-2,WO-44149
2025-02-15,MRO-0006,ISSUE,-1,WO-67639
2025-02-26,MRO-0006,ISSUE,-1,WO-65402
2025-03-09,MRO-0006,ISSUE,-1,WO-67098
2025-03-16,MRO-0006,ISSUE,-3,WO-92848
2025-03-16,MRO-0006,ISSUE,-1,WO-21395
2025-03-26,MRO-0006,ISSUE,-1,WO-81908
2025-03-28,MRO-0006,ISSUE,-2,WO-79684
2025-04-01,MRO-0006,ISSUE,-5,WO-43208
2025-04-01,MRO-0006,ISSUE,-1,WO-93786
2025-04-15,MRO-0006,ISSUE,-1,WO-34263
2025-04-19,MRO-0006,ISSUE,-3,WO-96201
2025-04-21,MRO-0006,ISSUE,-2,WO-28766
2025-04-21,MRO-0006,ISSUE,-1,WO-59601
2025-04-21,MRO-0006,ISSUE,-5,WO-36632
2025-04-24,MRO-0006,ISSUE,-2,WO-28250
2025-04-25,MRO-0006,ISSUE,-2,WO-56128
2025-04-29,MRO-0006,ISSUE,-3,WO-74817
2025-05-16,MRO-0006,ISSUE,-1,WO-99317
2025-05-19,MRO-0006,ISSUE,-1,WO-61800
2025-05-29,MRO-0006,RECEIPT,13,PO-55765
2025-06-01,MRO-0006,ISSUE,-2,WO-90365
2025-06-06,MRO-0006,ISSUE,-2,WO-69641
2025-06-18,MRO-0006,ISSUE,-1,WO-27414
2025-06-20,MRO-0006,ISSUE,-2,WO-10025
2025-06-20,MRO-0006,RECEIPT,13,PO-55703
2025-06-24,MRO-0006,ISSUE,-1,WO-61755
2025-06-25,MRO-0006,ISSUE,-1,WO-62336
2025-06-30,MRO-0006,ISSUE,-5,WO-19580
2025-07-05,MRO-0006,ISSUE,-1,WO-34174
2025-07-07,MRO-0006,ISSUE,-1,WO-48216
2025-07-14,MRO-0006,ISSUE,-3,WO-30255
2025-07-16,MRO-0006,RECEIPT,5,PO-17435
2025-07-22,MRO-0006,ISSUE,-2,WO-98678
2025-07-28,MRO-0006,ISSUE,-2,WO-83535
2025-07-29,MRO-0006,ISSUE,-1,WO-38322
2025-08-02,MRO-0006,ISSUE,-3,WO-64502
2025-08-03,MRO-0006,ISSUE,-2,WO-32133
2025-08-03,MRO-0006,ISSUE,-1,WO-21977
2025-08-13,MRO-0006,ISSUE,-1,WO-40356
2025-08-17,MRO-0006,ISSUE,-1,WO-59383
2025-08-19,MRO-0006,ISSUE,-1,WO-67360
2025-08-20,MRO-0006,ISSUE,-1,WO-30057
2025-08-20,MRO-0006,ISSUE,-3,WO-13654
2025-08-26,MRO-0006,ISSUE,-1,WO-61647
2025-08-30,MRO-0006,ISSUE,-2,WO-62598
2025-09-05,MRO-0006,ISSUE,-1,WO-50882
2025-09-07,MRO-0006,ISSUE,-1,WO-87581
2025-09-08,MRO-0006,ISSUE,-1,WO-22654
2025-09-10,MRO-0006,ISSUE,-1,WO-87080
2025-09-16,MRO-0006,ISSUE,-1,WO-27282
2025-09-19,MRO-0006,ISSUE,-3,WO-84931
2025-09-21,MRO-0006,ISSUE,-2,WO-88764
2025-09-23,MRO-0006,ISSUE,-1,WO-15371
2025-10-01,MRO-0006,ISSUE,-2,WO-93415
2025-10-03,MRO-0006,RECEIPT,13,PO-20658
2025-10-04,MRO-0006,ISSUE,-1,WO-39559
2025-10-06,MRO-0006,ISSUE,-1,WO-85381
2025-10-07,MRO-0006,ISSUE,-1,WO-23138
2025-10-13,MRO-0006,ISSUE,-2,WO-91789
2025-10-16,MRO-0006,ISSUE,-3,WO-42530
2025-10-17,MRO-0006,RECEIPT,5,PO-65772
2025-10-20,MRO-0006,RECEIPT,8,PO-40867
2025-10-24,MRO-0006,ISSUE,-1,WO-69313
2025-10-25,MRO-0006,ISSUE,-2,WO-50985
2025-10-26,MRO-0006,ISSUE,-1,WO-10015
2025-10-26,MRO-0006,ISSUE,-5,WO-24218
2025-10-29,MRO-0006,ISSUE,-3,WO-24123
2025-11-03,MRO-0006,ISSUE,-2,WO-27745
2025-11-04,MRO-0006,ISSUE,-2,WO-70155
2025-11-09,MRO-0006,ISSUE,-2,WO-99705
2025-11-12,MRO-0006,ISSUE,-1,WO-41125
2025-11-13,MRO-0006,ISSUE,-2,WO-14775
2025-11-15,MRO-0006,ISSUE,-2,WO-68054
2025-11-24,MRO-0006,ISSUE,-1,WO-77612
2025-11-29,MRO-0006,ISSUE,-1,WO-15455
2025-01-01,MRO-0007,OPENING,5,OPEN
2025-01-14,MRO-0007,ISSUE,-1,WO-36472
2025-01-18,MRO-0007,ISSUE,-5,WO-88946
2025-01-31,MRO-0007,ISSUE,-2,WO-21958
2025-02-06,MRO-0007,ISSUE,-2,WO-98710
2025-03-05,MRO-0007,ISSUE,-5,WO-31744
2025-03-08,MRO-0007,ISSUE,-3,WO-95507
2025-03-25,MRO-0007,RECEIPT,10,PO-61135
2025-03-31,MRO-0007,RECEIPT,8,PO-23630
2025-06-01,MRO-0007,ISSUE,-1,WO-60549
2025-06-04,MRO-0007,ISSUE,-2,WO-54950
2025-06-04,MRO-0007,RECEIPT,8,PO-47817
2025-06-16,MRO-0007,ISSUE,-1,WO-79282
2025-07-02,MRO-0007,ISSUE,-1,WO-83804
2025-07-15,MRO-0007,ISSUE,-3,WO-85274
2025-07-19,MRO-0007,RECEIPT,8,PO-90683
2025-07-31,MRO-0007,ISSUE,-5,WO-19046
2025-08-09,MRO-0007,ISSUE,-1,WO-66796
2025-08-11,MRO-0007,ISSUE,-1,WO-69386
2025-08-19,MRO-0007,ISSUE,-3,WO-70408
2025-09-11,MRO-0007,RECEIPT,5,PO-30025
2025-09-25,MRO-0007,RECEIPT,13,PO-91977
2025-10-12,MRO-0007,ISSUE,-2,WO-18247
2025-10-19,MRO-0007,ISSUE,-1,WO-36201
2025-11-26,MRO-0007,RECEIPT,13,PO-96643
2025-11-28,MRO-0007,ISSUE,-1,WO-89902
2025-01-01,MRO-0008,OPENING,13,OPEN
2025-01-06,MRO-0008,ISSUE,-1,WO-45038
2025-01-19,MRO-0008,ISSUE,-2,WO-73143
2025-01-22,MRO-0008,ISSUE,-3,WO-15870
2025-01-27,MRO-0008,ISSUE,-3,WO-43141
2025-02-19,MRO-0008,RECEIPT,21,PO-55765
2025-05-09,MRO-0008,RECEIPT,5,PO-14595
2025-05-10,MRO-0008,ISSUE,-1,WO-51575
2025-05-10,MRO-0008,ISSUE,-2,WO-49084
2025-05-17,MRO-0008,RECEIPT,5,PO-74326
2025-05-30,MRO-0008,ISSUE,-1,WO-17151
2025-06-11,MRO-0008,ISSUE,-2,WO-57646
2025-07-10,MRO-0008,ISSUE,-1,WO-69524
2025-07-11,MRO-0008,ISSUE,-5,WO-99840
2025-07-20,MRO-0008,ISSUE,-1,WO-48440
2025-07-27,MRO-0008,RECEIPT,10,PO-71119
2025-07-31,MRO-0008,ISSUE,-2,WO-62327
2025-08-02,MRO-0008,ISSUE,-1,WO-53321
2025-08-04,MRO-0008,RECEIPT,8,PO-19699
2025-08-27,MRO-0008,ISSUE,-2,WO-37289
2025-08-28,MRO-0008,RECEIPT,5,PO-27029
2025-09-06,MRO-0008,ISSUE,-2,WO-38799
2025-09-09,MRO-0008,ISSUE,-2,WO-87957
2025-10-03,MRO-0008,ISSUE,-1,WO-38647
2025-10-26,MRO-0008,ISSUE,-1,WO-63187
2025-10-28,MRO-0008,ISSUE,-2,WO-26264
2025-11-14,MRO-0008,ISSUE,-1,WO-74017
2025-11-14,MRO-0008,RECEIPT,8,PO-43536
2025-11-19,MRO-0008,ISSUE,-3,WO-45895
2025-11-25,MRO-0008,ISSUE,-1,WO-65530
2025-01-01,MRO-0009,OPENING,5,OPEN
2025-01-17,MRO-0009,ISSUE,-2,WO-11790
2025-01-24,MRO-0009,ISSUE,-1,WO-10772
2025-02-01,MRO-0009,ISSUE,-1,WO-92328
2025-02-06,MRO-0009,RECEIPT,10,PO-93734
2025-02-10,MRO-0009,ISSUE,-1,WO-41670
2025-02-24,MRO-0009,ISSUE,-1,WO-20692
2025-02-24,MRO-0009,ISSUE,-2,WO-33951
2025-03-05,MRO-0009,RECEIPT,13,PO-56263
2025-03-22,MRO-0009,RECEIPT,5,PO-67746
2025-03-31,MRO-0009,ISSUE,-1,WO-67008
2025-04-07,MRO-0009,RECEIPT,10,PO-95674
2025-04-24,MRO-0009,ISSUE,-1,WO-92845
2025-05-20,MRO-0009,ISSUE,-1,WO-31828
2025-06-13,MRO-0009,ISSUE,-1,WO-43982
2025-06-25,MRO-0009,ISSUE,-1,WO-12634
2025-06-26,MRO-0009,ISSUE,-1,WO-22402
2025-08-05,MRO-0009,RECEIPT,8,PO-79128
2025-08-15,MRO-0009,RECEIPT,13,PO-83463
2025-09-18,MRO-0009,ISSUE,-2,WO-14039
2025-09-19,MRO-0009,ISSUE,-1,WO-24421
2025-09-20,MRO-0009,ISSUE,-1,WO-92500
2025-09-20,MRO-0009,ISSUE,-1,WO-65688
2025-09-29,MRO-0009,ISSUE,-1,WO-14155
2025-10-08,MRO-0009,ISSUE,-2,WO-87733
2025-10-14,MRO-0009,RECEIPT,8,PO-47771
2025-10-31,MRO-0009,ISSUE,-1,WO-30651
2025-11-11,MRO-0009,ISSUE,-1,WO-97713
2025-11-11,MRO-0009,ISSUE,-1,WO-75696
2025-11-18,MRO-0009,ISSUE,-3,WO-31759
2025-11-19,MRO-0009,ISSUE,-1,WO-50560
2025-11-23,MRO-0009,ISSUE,-1,WO-38974
2025-11-25,MRO-0009,ISSUE,-2,WO-10683
2025-11-30,MRO-0009,ISSUE,-1,WO-67516
2025-01-01,MRO-0010,OPENING,21,OPEN
2025-01-01,MRO-0010,RECEIPT,13,PO-89656
2025-01-12,MRO-0010,ISSUE,-1,WO-39273
2025-01-14,MRO-0010,ISSUE,-1,WO-68430
2025-01-21,MRO-0010,ISSUE,-1,WO-22065
2025-01-27,MRO-0010,ISSUE,-1,WO-33302
2025-02-11,MRO-0010,ISSUE,-1,WO-27412
2025-02-14,MRO-0010,ISSUE,-1,WO-31016
2025-02-18,MRO-0010,RECEIPT,8,PO-41685
2025-02-27,MRO-0010,RECEIPT,5,PO-66409
2025-03-01,MRO-0010,ISSUE,-1,WO-63528
2025-03-01,MRO-0010,ISSUE,-1,WO-21533
2025-03-07,MRO-0010,ISSUE,-1,WO-25971
2025-03-09,MRO-0010,ISSUE,-1,WO-49465
2025-03-09,MRO-0010,ISSUE,-1,WO-78974
2025-03-14,MRO-0010,ISSUE,-2,WO-61309
2025-03-21,MRO-0010,ISSUE,-1,WO-72635
2025-03-25,MRO-0010,ISSUE,-1,WO-45639
2025-04-03,MRO-0010,ISSUE,-2,WO-10504
2025-04-26,MRO-0010,ISSUE,-2,WO-36937
2025-04-28,MRO-0010,ISSUE,-1,WO-33533
2025-05-02,MRO-0010,ISSUE,-2,WO-41199
2025-05-03,MRO-0010,ISSUE,-2,WO-28996
2025-05-21,MRO-0010,ISSUE,-1,WO-49064
2025-05-27,MRO-0010,ISSUE,-1,WO-69393
2025-05-31,MRO-0010,ISSUE,-1,WO-43481
2025-06-05,MRO-0010,ISSUE,-1,WO-28342
2025-06-09,MRO-0010,ISSUE,-1,WO-25051
2025-06-20,MRO-0010,ISSUE,-1,WO-73305
2025-06-21,MRO-0010,ISSUE,-2,WO-68820
2025-06-22,MRO-0010,ISSUE,-1,WO-12987
2025-06-29,MRO-0010,ISSUE,-2,WO-84562
2025-07-02,MRO-0010,ISSUE,-2,WO-65069
2025-07-03,MRO-0010,RECEIPT,10,PO-95933
2025-07-07,MRO-0010,ISSUE,-1,WO-26595
2025-07-11,MRO-0010,ISSUE,-2,WO-29131
2025-07-26,MRO-0010,ISSUE,-1,WO-31121
2025-07-30,MRO-0010,ISSUE,-1,WO-47705
2025-08-10,MRO-0010,ISSUE,-1,WO-55508
2025-08-11,MRO-0010,ISSUE,-3,WO-57051
2025-08-14,MRO-0010,ISSUE,-1,WO-95029
2025-08-19,MRO-0010,ISSUE,-1,WO-12157
2025-08-21,MRO-0010,ISSUE,-1,WO-91972
2025-08-25,MRO-0010,ISSUE,-1,WO-39880
2025-08-31,MRO-0010,ISSUE,-1,WO-49787
2025-09-26,MRO-0010,ISSUE,-1,WO-92535
2025-09-30,MRO-0010,RECEIPT,8,PO-57869
2025-10-01,MRO-0010,RECEIPT,5,PO-10059
2025-10-06,MRO-0010,ISSUE,-2,WO-20779
2025-10-23,MRO-0010,RECEIPT,8,PO-81190
2025-10-26,MRO-0010,ISSUE,-1,WO-34677
2025-10-31,MRO-0010,ISSUE,-2,WO-11369
2025-11-23,MRO-0010,ISSUE,-1,WO-24875
2025-11-29,MRO-0010,ISSUE,-2,WO-98027
2025-11-29,MRO-0010,ISSUE,-2,WO-94242
2025-01-01,MRO-0011,OPENING,8,OPEN
2025-01-02,MRO-0011,ISSUE,-1,WO-57840
2025-01-11,MRO-0011,ISSUE,-2,WO-40595
2025-01-13,MRO-0011,ISSUE,-3,WO-89839
2025-01-16,MRO-0011,ISSUE,-2,WO-69149
2025-01-17,MRO-0011,ISSUE,-2,WO-50127
2025-01-20,MRO-0011,RECEIPT,13,PO-97514
2025-01-26,MRO-0011,ISSUE,-2,WO-15081
2025-01-29,MRO-0011,ISSUE,-1,WO-98851
2025-02-03,MRO-0011,ISSUE,-1,WO-12010
2025-02-10,MRO-0011,ISSUE,-1,WO-51271
2025-02-12,MRO-0011,ISSUE,-1,WO-23398
2025-02-13,MRO-0011,RECEIPT,13,PO-48163
2025-02-14,MRO-0011,RECEIPT,10,PO-24711
2025-02-19,MRO-0011,ISSUE,-1,WO-40731
2025-02-21,MRO-0011,ISSUE,-1,WO-52246
2025-02-23,MRO-0011,ISSUE,-1,WO-97111
2025-02-28,MRO-0011,ISSUE,-3,WO-97452
2025-02-28,MRO-0011,ISSUE,-1,WO-81860
2025-03-01,MRO-0011,ISSUE,-1,WO-99425
2025-03-01,MRO-0011,ISSUE,-1,WO-83942
2025-03-05,MRO-0011,ISSUE,-1,WO-63796
2025-03-06,MRO-0011,ISSUE,-2,WO-11242
2025-03-10,MRO-0011,ISSUE,-1,WO-79593
2025-03-12,MRO-0011,ISSUE,-1,WO-83862
2025-03-18,MRO-0011,ISSUE,-2,WO-76522
2025-03-22,MRO-0011,ISSUE,-2,WO-40832
2025-03-22,MRO-0011,ISSUE,-1,WO-27401
2025-03-23,MRO-0011,RECEIPT,5,PO-25190
2025-04-12,MRO-0011,ISSUE,-3,WO-78113
2025-04-15,MRO-0011,ISSUE,-1,WO-47236
2025-04-18,MRO-0011,ISSUE,-1,WO-38564
2025-04-22,MRO-0011,ISSUE,-1,WO-35461
2025-05-07,MRO-0011,RECEIPT,10,PO-51918
2025-05-14,MRO-0011,ISSUE,-1,WO-67984
2025-05-14,MRO-0011,ISSUE,-2,WO-41721
2025-05-19,MRO-0011,ISSUE,-1,WO-78772
2025-05-20,MRO-0011,ISSUE,-2,WO-12364
2025-05-21,MRO-0011,RECEIPT,5,PO-79200
2025-05-24,MRO-0011,ISSUE,-1,WO-76612
2025-05-26,MRO-0011,ISSUE,-1,WO-73018
2025-05-30,MRO-0011,ISSUE,-2,WO-10063
2025-05-31,MRO-0011,ISSUE,-2,WO-36502
2025-06-12,MRO-0011,ISSUE,-3,WO-31235
2025-06-14,MRO-0011,ISSUE,-2,WO-28804
2025-06-19,MRO-0011,ISSUE,-1,WO-68996
2025-06-29,MRO-0011,ISSUE,-1,WO-40228
